Provider,Vehicle Type,AC,Premium,Passengers,Base Fare (₹),Per Km (₹),Per Min (₹),Booking Fee (₹)
Uber,Auto,No,No,3,30,13,1.2,15
Uber,Moto,No,No,1,20,10,1.0,10
Uber,Uber Go,Yes,No,4,45,14,2.0,30
Uber,Go Sedan,Yes,No,4,55,16,2.5,35
Uber,Go Priority,Yes,Yes,4,65,18,2.5,40
Uber,Uber Premier,Yes,Yes,4,75,20,3.0,45
Uber,Uber XL,Yes,Yes,6,90,24,4.0,60
Uber,Moto Saver,No,No,1,15,8,0.8,5
Uber,XL+ (Innova),Yes,Yes,6,100,28,4.5,70
Ola,Auto,No,No,3,30,13,1.2,15
Ola,Bike,No,No,1,20,9,1.0,10
Ola,Mini,Yes,No,4,40,13,2.0,25
Ola,Prime Sedan,Yes,No,4,50,15,2.5,30
Ola,Prime Plus,Yes,Yes,4,70,18,3.0,45
Ola,Prime SUV,Yes,Yes,6,90,22,4.0,55
Namma Yatri,Auto,No,No,3,25,12,1.0,10
Namma Yatri,Book Any,No,No,4,35,14,1.5,20
Namma Yatri,Non AC Cab,No,No,4,40,15,2.0,25
Namma Yatri,AC Mini,Yes,No,4,45,16,2.2,30
Namma Yatri,Sedan,Yes,No,4,55,18,2.5,35
Namma Yatri,XL Cab,Yes,Yes,6,85,24,3.5,50
Namma Yatri,XL Premium,Yes,Yes,6,95,26,4.0,60
